60.1107053
         6281203 function calls (6280314 primitive calls) in 29.656 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    27113   18.641    0.001   28.344    0.001 frequent_itemset_miner.py:252(cover_intersection)
  5983661    9.891    0.000    9.891    0.000 :0(append)
        1    0.344    0.344   29.656   29.656 frequent_itemset_miner.py:244(alternative_miner)
   186911    0.266    0.000    0.266    0.000 :0(add)
        1    0.266    0.266    0.625    0.625 frequent_itemset_miner.py:28(__init__)
    55276    0.094    0.000    0.094    0.000 :0(len)
     8124    0.031    0.000    0.031    0.000 :0(split)
     8124    0.031    0.000    0.031    0.000 :0(sorted)
     1002    0.031    0.000   28.391    0.028 frequent_itemset_miner.py:274(calculate_vertical_transactions_transposed)
 1002/119    0.031    0.000   18.391    0.155 frequent_itemset_miner.py:286(eclat_dfs_recursion)
     8124    0.016    0.000    0.016    0.000 :0(strip)
     1026    0.016    0.000    0.016    0.000 :0(items)
        0    0.000             0.000          profile:0(profiler)
        1    0.000    0.000   29.656   29.656 profile:0(<code object <module> at 0x00000229C0B890E0, file ".\frequent_itemset_miner.py", line 2>)
      2/1    0.000    0.000   29.656   29.656 :0(exec)
        1    0.000    0.000   29.656   29.656 frequent_itemset_miner.py:2(<module>)
      3/2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:986(_find_and_load)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       11    0.000    0.000    0.000    0.000 :0(acquire_lock)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        6    0.000    0.000    0.000    0.000 :0(allocate_lock)
       11    0.000    0.000    0.000    0.000 :0(release_lock)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
        6    0.000    0.000    0.000    0.000 :0(get_ident)
        6    0.000    0.000    0.000    0.000 :0(get)
      3/2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
       12    0.000    0.000    0.000    0.000 :0(rpartition)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        3    0.000    0.000    0.000    0.000 :0(is_builtin)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:800(find_spec)
        1    0.000    0.000    0.000    0.000 :0(is_frozen)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
        9    0.000    0.000    0.000    0.000 :0(isinstance)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:63(__init__)
        3    0.000    0.000    0.000    0.000 :0(replace)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        8    0.000    0.000    0.000    0.000 :0(stat)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1590(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:159(_path_isdir)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1459(__init__)
        3    0.000    0.000    0.000    0.000 :0(extend)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1465(<genexpr>)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:167(_path_isabs)
        2    0.000    0.000    0.000    0.000 :0(_path_splitroot)
        1    0.000    0.000    0.000    0.000 :0(getcwd)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:91(_path_join)
       47    0.000    0.000    0.000    0.000 :0(startswith)
       69    0.000    0.000    0.000    0.000 :0(endswith)
       65    0.000    0.000    0.000    0.000 :0(rstrip)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:114(<listcomp>)
       23    0.000    0.000    0.000    0.000 :0(join)
       14    0.000    0.000    0.000    0.000 :0(hasattr)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1549(_fill_cache)
        1    0.000    0.000    0.000    0.000 :0(listdir)
        7    0.000    0.000    0.000    0.000 :0(partition)
       11    0.000    0.000    0.000    0.000 :0(lower)
        4    0.000    0.000    0.000    0.000 :0(format)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1578(<setcomp>)
